ms,utc_date,utc_time,fix,lat,lon,alt_m,speed_kmh,course_deg,sats,hdop,batt_mv,tx_seq,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps,accel_mag_max_g,gyro_mag_max_dps,imu_temp_c,imu_samples
4315,0000-00-00,00:00:00,0,0.0000000,0.0000000,0.0,0.00,0.0,0,0.0,0,0,0.0000,0.0000,0.0000,0.00,0.00,0.00,0.0000,0.00,0.0,1
5315,2000-00-00,00:00:00,0,0.0000000,0.0000000,0.0,0.00,0.0,0,25.5,0,1,-0.0476,-0.3428,1.0178,-64.23,-31.73,105.85,1.4465,175.77,23.8,38
6316,2000-00-00,00:00:00,0,0.0000000,0.0000000,0.0,0.00,0.0,0,25.5,0,1,-0.2593,0.1389,0.9548,1.39,6.02,2.63,1.5007,118.23,23.9,49
7316,2000-00-00,00:00:00,0,0.0000000,0.0000000,0.0,0.00,0.0,0,25.5,0,1,-0.2412,0.1494,0.8381,10.83,26.31,-30.70,1.2657,55.01,24.0,48
8316,2000-00-00,00:00:00,0,0.0000000,0.0000000,0.0,0.00,0.0,0,25.5,0,1,-0.1797,0.3542,0.8987,21.73,-2.16,-9.09,1.2525,59.44,24.0,49
9316,2000-00-00,00:00:00,0,0.0000000,0.0000000,0.0,0.00,0.0,0,25.5,0,1,-0.3135,0.1799,0.9763,31.10,-3.97,-19.67,1.3871,75.32,24.0,49
10316,2000-00-00,00:00:00,0,0.0000000,0.0000000,0.0,0.00,0.0,0,25.5,0,1,-0.2612,0.1240,0.7515,31.41,-12.37,29.23,1.3580,69.61,24.1,49
11316,2000-00-00,00:00:00,0,0.0000000,0.0000000,0.0,0.00,0.0,0,25.5,0,1,-0.5183,0.1826,1.1111,-56.45,5.82,20.00,1.4115,60.17,24.1,48
12316,2000-00-00,00:00:00,0,0.0000000,0.0000000,0.0,0.00,0.0,0,25.5,0,1,-0.2629,0.0505,0.9412,-8.58,19.20,13.11,1.4439,66.20,24.1,49
13316,2000-00-00,00:00:00,0,0.0000000,0.0000000,0.0,0.00,0.0,0,25.5,0,1,-0.1035,-0.0291,0.8413,0.88,-2.11,-6.64,1.2498,112.99,24.2,49
14316,2000-00-00,00:00:00,0,0.0000000,0.0000000,0.0,0.00,0.0,0,25.5,0,1,-0.4072,-0.2466,0.9558,4.41,71.01,-55.05,1.2568,92.66,24.2,49
15316,2000-00-00,00:00:00,0,0.0000000,0.0000000,0.0,0.00,0.0,0,25.5,0,1,0.1301,-0.1040,1.7344,-82.07,-4.63,33.91,1.7424,103.50,24.2,48
16316,2000-00-00,00:00:00,0,0.0000000,0.0000000,0.0,0.00,0.0,0,25.5,0,1,-0.1929,0.0940,0.9048,5.54,15.62,32.93,1.4030,54.79,24.3,49
17316,2000-00-00,00:00:00,0,0.0000000,0.0000000,0.0,0.00,0.0,0,25.5,0,1,-0.1833,0.1702,1.1167,-7.60,-25.18,6.01,1.3600,92.06,24.3,49
18316,2000-00-00,00:00:00,0,0.0000000,0.0000000,0.0,0.00,0.0,0,25.5,0,1,-0.2744,0.1399,0.7563,8.18,4.88,9.39,1.1852,42.14,24.2,49
19316,2000-00-00,00:00:00,0,0.0000000,0.0000000,0.0,0.00,0.0,0,25.5,0,1,-0.2471,0.2754,0.7705,31.55,-19.95,18.26,1.2939,102.32,24.3,48
20316,2000-00-00,00:00:00,0,0.0000000,0.0000000,0.0,0.00,0.0,0,25.5,0,1,-0.2383,0.1321,0.8933,5.33,25.79,-25.95,1.7051,83.12,24.3,49
21316,2000-00-00,00:00:00,0,0.0000000,0.0000000,0.0,0.00,0.0,0,25.5,0,1,-0.1453,0.2727,0.6304,3.37,13.54,-29.02,1.3185,63.29,24.5,49
22316,2000-00-00,00:00:00,0,0.0000000,0.0000000,0.0,0.00,0.0,0,25.5,0,1,-0.2573,-0.0266,0.8921,12.33,-26.82,25.27,1.3455,121.49,24.5,48
23316,2000-00-00,00:00:00,0,0.0000000,0.0000000,0.0,0.00,0.0,0,25.5,0,1,-0.4124,-0.0029,0.7090,-30.70,11.31,-11.86,1.4223,75.81,24.8,49
24316,2000-00-00,00:00:00,0,0.0000000,0.0000000,0.0,0.00,0.0,0,25.5,0,1,-0.3098,-0.1194,0.8953,-6.30,-11.52,33.26,1.4011,79.74,25.0,49
25316,2000-00-00,00:00:00,0,0.0000000,0.0000000,0.0,0.00,0.0,0,25.5,0,1,-0.0605,-0.0376,0.8706,20.88,35.12,8.11,1.6745,111.28,25.2,49
26316,2000-00-00,00:00:00,0,0.0000000,0.0000000,0.0,0.00,0.0,0,25.5,0,1,-0.1975,-0.2173,1.5017,-18.20,-7.27,-10.66,1.5301,71.64,25.3,48
